Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Albania,ALB,312500000,700083398.144547,3565049424.96224,3694412184.43974,3732057451.6496,3104896964.71229,3437126527.98196,4110290931.98992,4785177777.03696,4821430704.1915,3435536125.17257,5590528223.53168
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Algeria,DZA,14546469695.7857,23050163566.7382,77123007377.2183,69659422389.7672,65185667481.6019,38460350139.138,33403107185.3776,38496751462.0674,45233966128.5592,39014323824.3337,25109483754.1254,43343767861.8496
Exports of goods and services (current US$),NE.EXP.GNFS.CD,American Samoa,ASM,..,..,483000000,458000000,429000000,428000000,429000000,362000000,436000000,399000000,426000000,334000000
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Angola,AGO,..,8187952996.90344,69924162329.6285,67697415578.9142,61341442498.8622,25951752164.8067,14017381688.2126,20004932389.8365,31767752271.8422,28271709349.1708,19110949393.407,29843731084.8329
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Antigua and Barbuda,ATG,..,814814814.814815,948148148.148148,952148148.148148,1027296296.2963,1016370370.37037,1043111111.11111,994427259.259259,1036233333.33333,1196203185.18519,598873555.555555,..
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Argentina,ARG,14643450361.4013,31223690400,88655850853.7721,80690471898.442,75818867911.0825,63671789068.8987,69842486095.8653,72860588696.2874,75766577038.619,80259469133.6486,64041594762.912,87867694033.2054
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Armenia,ARM,789960888.143741,423629630.453398,2926876972.55105,3153323143.543,3315721203.94365,3137020909.22235,3558717362.88217,4405338828.34724,4907543853.58308,5631686117.72708,3762799613.66756,4898064989.97558
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Aruba,ABW,..,1393854748.60335,1911731843.57542,2088268156.42458,2184357541.89944,2158659217.87709,2143016759.77654,2243575418.99441,2363128491.62011,2460174357.5419,1347955008.01117,2154231632.83799
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Australia,AUS,47071950750.2886,80697104816.9315,332571664260.672,315050784856.879,309598824933.444,271042516016.308,232526568641.724,281635115770.42,312415316642.121,336244457159.205,318566161683.872,342753936860.96
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Austria,AUT,59423124773.0848,85517701539.3727,220969210537.828,229899623200.707,236280892259.344,202784894360.508,207444081442.658,225534464183.706,252348201943.937,247908346659.764,224631996609.728,268527420305.887
